City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,akureyri,65.6835,-18.0878,7.96,93,100,3.09,IS,1693458367
282,awjilah,29.1081,21.2869,25.13,59,4,4.04,LY,1693458368
283,mejit,10.2753,170.8646,28.78,76,78,6.57,MH,1693458368
284,tuineje,28.3237,-14.0472,21.88,83,16,5.31,ES,1693458368
285,zemio,5.0314,25.1361,19.94,99,100,1.08,CF,1693458368
286,villa gesell,-37.2639,-56.973,6.14,87,34,4.56,AR,1693458368
287,tarrafal de sao nicolau,16.5667,-24.3667,26.8,86,100,0.91,CV,1693458368
288,chibougamau,49.9168,-74.3659,6.79,81,0,3.09,CA,1693458369
289,santa ana de yacuma,-13.75,-65.4333,28.66,43,15,3.06,BO,1693458369
290,aykhal,66.0,111.5,3.6,96,100,5.6,RU,1693458369
291,yeraliyev,43.2,51.65,21.79,34,0,0.6,KZ,1693458369
292,san pedro,14.35,121.0167,30.57,78,75,7.72,PH,1693458369
293,roma,43.2128,-75.4557,14.49,94,75,1.54,US,1693458365
294,iskateley,67.6803,53.1512,12.37,65,49,2.34,RU,1693458370
295,arcachon,44.5875,-1.0519,15.03,94,75,3.09,FR,1693458370
296,moss bluff,30.3027,-93.1907,25.99,58,0,2.57,US,1693458370
297,tilaran,10.4703,-84.9671,25.04,90,82,2.69,CR,1693458370
298,kulhudhuffushi,6.6221,73.07,26.74,84,100,9.43,MV,1693458371
299,viseu,40.661,-7.9097,11.52,73,32,1.72,PT,1693458371
300,takoradi,4.8845,-1.7554,23.59,94,71,2.41,GH,1693458371
301,callao,-12.0667,-77.15,19.84,82,100,5.14,PE,1693458371
302,chornomorske,45.5039,32.6997,24.47,70,2,2.76,UA,1693458371
303,cide,41.8921,33.0044,25.77,59,57,1.39,TR,1693458371
304,immenhausen,51.4276,9.4802,11.1,97,82,2.59,DE,1693458371
305,salahonda,2.1019,-78.7217,27.37,83,61,2.92,CO,1693458372
306,la rioja,42.25,-2.5,7.88,79,2,2.45,ES,1693458210
307,moche,-8.1711,-79.0092,20.1,88,100,3.6,PE,1693458372
308,haiku-pauwela,20.9219,-156.3051,25.58,76,13,7.6,US,1693458372
309,lompoc,34.6391,-120.4579,21.12,91,0,0.0,US,1693458372
310,juneau,58.3019,-134.4197,14.56,98,100,0.0,US,1693458287
311,tolanaro,-25.0319,46.9987,19.04,77,40,4.63,MG,1693458373
312,numata,36.6333,139.05,33.4,39,95,2.01,JP,1693458373
313,fisterra,42.9049,-9.2629,18.9,92,17,2.71,ES,1693458373
314,victoria,22.2855,114.1577,33.57,72,100,4.02,HK,1693458131
315,hung yen,20.65,106.0667,33.34,41,1,5.74,VN,1693458374
316,east ballina,-28.8667,153.5833,24.89,60,3,4.76,AU,1693458374
317,concepcion del oro,24.6333,-101.4167,16.86,52,38,3.74,MX,1693458374
318,kapa'a,22.0752,-159.319,28.99,85,75,8.23,US,1693458366
319,miguel ahumada,30.6167,-106.5167,26.93,27,0,3.79,MX,1693458374
320,usogorsk,63.4106,48.6872,13.38,77,98,1.06,RU,1693458374
321,nova olimpia,-14.7972,-57.2881,24.67,71,5,1.48,BR,1693458375
322,udomlya,57.8794,34.9925,15.02,89,64,3.5,RU,1693458375
323,ivdel',60.6911,60.4206,12.55,97,100,5.89,RU,1693458375
324,tenenkou,14.4572,-4.9169,24.48,76,100,2.34,ML,1693458375
325,bairnsdale,-37.8333,147.6167,17.81,63,60,2.24,AU,1693458375
326,almeria,37.1667,-2.3333,18.76,82,12,0.96,ES,1693458376
327,gadzhiyevo,69.2551,33.3362,12.29,80,60,0.34,RU,1693458376
328,hasaki,35.7333,140.8333,35.73,74,85,6.63,JP,1693458376
329,palu,-0.8917,119.8707,32.63,59,29,2.12,ID,1693458376
330,pingxiang,27.6167,113.85,28.1,62,74,2.71,CN,1693458376
331,colonia,50.9333,6.95,12.2,84,100,3.09,DE,1693458376
332,tsiombe,-25.3,45.4833,19.89,63,8,3.85,MG,1693458377
333,kasane,-17.8167,25.15,12.41,52,0,2.08,BW,1693458377
334,sale,34.0389,-6.8166,15.38,100,75,0.0,MA,1693458377
335,belomorsk,64.5232,34.7668,12.46,97,100,3.85,RU,1693458377
336,anadyr,64.75,177.4833,13.28,66,20,6.0,RU,1693458377
337,sitka,57.0531,-135.33,14.94,88,100,2.57,US,1693458377
338,sarrebourg,48.7333,7.05,12.34,94,58,2.68,FR,1693458378
339,camiri,-20.05,-63.5167,18.5,55,11,1.23,BO,1693458378
340,nemuro,43.3236,145.575,20.05,91,94,8.56,JP,1693458378
341,kourou,5.1552,-52.6478,24.03,85,3,2.27,GF,1693458273
342,macia,-25.0269,33.0989,16.74,84,0,1.75,MZ,1693458378
343,mata-utu,-13.2816,-176.1745,27.4,81,37,9.45,WF,1693458379
344,kone,-21.0595,164.8658,24.76,75,100,2.85,NC,1693458379
345,labrador city,52.9463,-66.9114,5.95,75,75,4.63,CA,1693458379
346,rakvere,59.3464,26.3558,18.37,93,95,4.32,EE,1693458379
347,itamarandiba,-17.8572,-42.8589,17.46,93,56,0.44,BR,1693458379
348,dongdai,26.2419,119.6169,28.95,81,100,9.22,CN,1693458379
349,naze,28.3667,129.4833,28.51,88,58,8.74,JP,1693458379
350,panacan,9.2463,118.4082,30.04,73,99,8.1,PH,1693458380
351,new norfolk,-42.7826,147.0587,14.72,59,75,4.87,AU,1693458380
352,qui nhon,13.7667,109.2333,32.99,57,92,1.05,VN,1693458380
353,tindouf,27.6711,-8.1474,20.25,60,0,9.26,DZ,1693458380
354,yarmouth,41.7057,-70.2286,20.54,84,0,4.47,US,1693458380
355,berdigestyakh,62.0989,126.6992,25.85,36,99,4.18,RU,1693458380
356,kavieng,-2.5744,150.7967,27.39,77,99,7.63,PG,1693458381
357,nantucket,41.2835,-70.0995,20.64,82,0,4.63,US,1693458368
358,cooma,-36.2333,149.1333,16.12,36,9,2.68,AU,1693458381
359,tura,25.5198,90.2201,31.88,57,39,1.29,IN,1693458381
360,puerto ayacucho,5.6639,-67.6236,23.69,91,100,1.8,VE,1693458381
361,enoch,37.7733,-113.0244,24.71,26,0,3.09,US,1693458381
362,ati,13.2154,18.3353,23.62,73,89,3.54,TD,1693458138
363,elizabethton,36.3487,-82.2107,19.76,88,100,0.0,US,1693458382
364,guankou,28.15,113.6333,29.89,50,45,1.4,CN,1693458382
365,onguday,50.75,86.15,23.23,48,66,1.34,RU,1693458382
366,crane,31.3974,-102.3501,28.6,29,0,1.58,US,1693458382
